       sku       asin price quantity
   ertan-0 B07F8QFZX6     0        0
   ertan-1 B09CKQZ4RP     0        0
   ertan-2 B0144CWU6Q     0        0
   ertan-3 B09KLRWYB8     0        0
   ertan-4 B08PPJCB61     0        0
   ertan-5 B07NXRGCVZ     0        0
   ertan-6 B09F6S58K8     0        0
   ertan-7 B089DNP8K3     0        0
   ertan-8 B07WMMRHKZ     0        0
   ertan-9 B09FWWLG5D     0        0
  ertan-10 B08VJ38TRL     0        0
  ertan-11 B09VT567TP     0        0
  ertan-12 B07GW5S6LY     0        0
  ertan-13 B096Q4XK9H     0        0
  ertan-14 B07XCNBPMQ     0        0
  ertan-15 B0851BH8JW     0        0
  ertan-16 B07QMV4VSQ     0        0
  ertan-17 B088QDMWHR     0        0
  ertan-18 B08RRTPF9T     0        0
  ertan-19 B099MYKRVN     0        0
  ertan-20 B08M3KSJL6     0        0
  ertan-21 B079M34VWH     0        0
  ertan-22 B0823VM4CH     0        0
  ertan-23 B07TFT93TK     0        0
  ertan-24 B09TR3JQXP     0        0
  ertan-25 B07PF6ZXWQ     0        0
  ertan-26 B081V3HTCW     0        0
  ertan-27 B00H6V4T0I     0        0
  ertan-28 B01N6DWOY4     0        0
  ertan-29 B01D4CTRRM     0        0
  ertan-30 B07T96QJ7N     0        0
  ertan-31 B006ROKGM0     0        0
  ertan-32 B07VY4BDQ1     0        0
  ertan-33 B07V238KGH     0        0
  ertan-34 B07TSLVQLH     0        0
  ertan-35 B095Y427DS     0        0
  ertan-36 B07Y66G68V     0        0
  ertan-37 B08B111ZKR     0        0
  ertan-38 B01IVLXVS2     0        0
  ertan-39 B07WF5G5WK     0        0
  ertan-40 B07W17J26P     0        0
  ertan-41 B083YVPB3L     0        0
  ertan-42 B08LK6MZV8     0        0
  ertan-43 B09CKHTNNX     0        0
  ertan-44 B076Q7ZXDM     0        0
  ertan-45 B08PFY6G19     0        0
  ertan-46 B00TCM49OK     0        0
  ertan-47 B072FR6SHB     0        0
  ertan-48 B0095ZQFC8     0        0
  ertan-49 B07GBRQYYY     0        0
  ertan-50 B078V43C9G     0        0
